id,value
root,
root.tensorflow,
root.tensorflow.init,1
root.tensorflow.contrib,
root.tensorflow.contrib.__init__,1
root.tensorflow.contrib.bayesflow,
root.tensorflow.contrib.bayesflow.__init__,1
root.tensorflow.contrib.bayesflowthon,
root.tensorflow.contrib.bayesflowthon.ops,
root.tensorflow.contrib.bayesflowthon.ops.entropy,1
root.tensorflow.contrib.bayesflowthon.ops.monte_carlo,1
root.tensorflow.contrib.bayesflowthon.ops.special_math,1
root.tensorflow.contrib.bayesflowthon.ops.stochastic_gradient_estimators,1
root.tensorflow.contrib.bayesflowthon.ops.stochastic_graph,1
root.tensorflow.contrib.bayesflowthon.ops.stochastic_tensor,1
root.tensorflow.contrib.bayesflowthon.ops.stochastic_variables,1
root.tensorflow.contrib.bayesflowthon.ops.variational_inference,1
root.tensorflow.contrib.compiler,
root.tensorflow.contrib.compiler.__init__,1
root.tensorflow.contrib.copy_graph,
root.tensorflow.contrib.copy_graph.__init__,1
root.tensorflow.contrib.copy_graphthon,
root.tensorflow.contrib.copy_graphthon.util,
root.tensorflow.contrib.copy_graphthon.util.copy_elements,3
root.tensorflow.contrib.crf,
root.tensorflow.contrib.crf.__init__,1
root.tensorflow.contrib.crfthon,
root.tensorflow.contrib.crfthon.ops,
root.tensorflow.contrib.crfthon.ops.crf,7
root.tensorflow.contrib.cudnn_rnn,
root.tensorflow.contrib.cudnn_rnn.__init__,1
root.tensorflow.contrib.deprecated,
root.tensorflow.contrib.deprecated.__init__,1
root.tensorflow.contrib.distributions,
root.tensorflow.contrib.distributions.__init__,1
root.tensorflow.contrib.distributionsthon,
root.tensorflow.contrib.distributionsthon.ops,
root.tensorflow.contrib.distributionsthon.ops.bernoulli,2
root.tensorflow.contrib.distributionsthon.ops.beta,2
root.tensorflow.contrib.distributionsthon.ops.bijector,1
root.tensorflow.contrib.distributionsthon.ops.binomial,1
root.tensorflow.contrib.distributionsthon.ops.categorical,1
root.tensorflow.contrib.distributionsthon.ops.chi2,2
root.tensorflow.contrib.distributionsthon.ops.dirichlet,1
root.tensorflow.contrib.distributionsthon.ops.dirichlet_multinomial,1
root.tensorflow.contrib.distributionsthon.ops.distribution,1
root.tensorflow.contrib.distributionsthon.ops.distribution_util,2
root.tensorflow.contrib.distributionsthon.ops.exponential,2
root.tensorflow.contrib.distributionsthon.ops.gamma,2
root.tensorflow.contrib.distributionsthon.ops.inverse_gamma,2
root.tensorflow.contrib.distributionsthon.ops.kullback_leibler,2
root.tensorflow.contrib.distributionsthon.ops.laplace,2
root.tensorflow.contrib.distributionsthon.ops.mixture,1
root.tensorflow.contrib.distributionsthon.ops.multinomial,1
root.tensorflow.contrib.distributionsthon.ops.mvn,5
root.tensorflow.contrib.distributionsthon.ops.normal,2
root.tensorflow.contrib.distributionsthon.ops.normal_conjugate_posteriors,2
root.tensorflow.contrib.distributionsthon.ops.poisson,1
root.tensorflow.contrib.distributionsthon.ops.quantized_distribution,1
root.tensorflow.contrib.distributionsthon.ops.student_t,2
root.tensorflow.contrib.distributionsthon.ops.transformed_distribution,1
root.tensorflow.contrib.distributionsthon.ops.uniform,1
root.tensorflow.contrib.distributionsthon.ops.wishart,2
root.tensorflow.contrib.factorization,
root.tensorflow.contrib.factorization.__init__,1
root.tensorflow.contrib.framework,
root.tensorflow.contrib.framework.__init__,1
root.tensorflow.contrib.frameworkthon,
root.tensorflow.contrib.frameworkthon.framework,
root.tensorflow.contrib.frameworkthon.framework.checkpoint_utils,4
root.tensorflow.contrib.frameworkthon.framework.experimental,1
root.tensorflow.contrib.frameworkthon.framework.tensor_util,8
root.tensorflow.contrib.frameworkthon.ops,
root.tensorflow.contrib.frameworkthon.ops.arg_scope,20
root.tensorflow.contrib.frameworkthon.ops.ops,1
root.tensorflow.contrib.frameworkthon.ops.variables,21
root.tensorflow.contrib.graph_editor,
root.tensorflow.contrib.graph_editor.__init__,1
root.tensorflow.contrib.graph_editor.edit,8
root.tensorflow.contrib.graph_editor.match,3
root.tensorflow.contrib.graph_editor.reroute,11
root.tensorflow.contrib.graph_editor.select,19
root.tensorflow.contrib.graph_editor.subgraph,4
root.tensorflow.contrib.graph_editor.transform,11
root.tensorflow.contrib.graph_editor.util,10
root.tensorflow.contrib.grid_rnn,
root.tensorflow.contrib.grid_rnn.__init__,1
root.tensorflow.contrib.image,
root.tensorflow.contrib.image.__init__,1
root.tensorflow.contrib.imagethon,
root.tensorflow.contrib.imagethon.ops,
root.tensorflow.contrib.imagethon.ops.image_ops,2
root.tensorflow.contrib.input_pipeline,
root.tensorflow.contrib.input_pipeline.__init__,1
root.tensorflow.contrib.input_pipelinethon,
root.tensorflow.contrib.input_pipelinethon.ops,
root.tensorflow.contrib.input_pipelinethon.ops.input_pipeline_ops,1
root.tensorflow.contrib.integrate,
root.tensorflow.contrib.integrate.__init__,1
root.tensorflow.contrib.integratethon,
root.tensorflow.contrib.integratethon.ops,
root.tensorflow.contrib.integratethon.ops.odes,1
root.tensorflow.contrib.labeled_tensor,
root.tensorflow.contrib.labeled_tensor.__init__,1
root.tensorflow.contrib.layers,
root.tensorflow.contrib.layers.__init__,1
root.tensorflow.contrib.layersthon,
root.tensorflow.contrib.layersthon.layers,
root.tensorflow.contrib.layersthon.layers.embedding_ops,1
root.tensorflow.contrib.layersthon.layers.encoders,1
root.tensorflow.contrib.layersthon.layers.feature_column,14
root.tensorflow.contrib.layersthon.layers.feature_column_ops,7
root.tensorflow.contrib.layersthon.layers.initializers,2
root.tensorflow.contrib.layersthon.layers.layers,3
root.tensorflow.contrib.layersthon.layers.optimizers,1
root.tensorflow.contrib.layersthon.layers.regularizers,4
root.tensorflow.contrib.layersthon.layers.summaries,6
root.tensorflow.contrib.learn,
root.tensorflow.contrib.learn.__init__,1
root.tensorflow.contrib.learnthon,
root.tensorflow.contrib.learnthon.learn,
root.tensorflow.contrib.learnthon.learn.datasets,
root.tensorflow.contrib.learnthon.learn.datasets.__init__,1
root.tensorflow.contrib.learnthon.learn.estimators,
root.tensorflow.contrib.learnthon.learn.estimators._sklearn,1
root.tensorflow.contrib.learnthon.learn.estimators.constants,1
root.tensorflow.contrib.learnthon.learn.estimators.dnn,2
root.tensorflow.contrib.learnthon.learn.estimators.dnn_linear_combined,2
root.tensorflow.contrib.learnthon.learn.estimators.estimator,4
root.tensorflow.contrib.learnthon.learn.estimators.head,1
root.tensorflow.contrib.learnthon.learn.estimators.kmeans,2
root.tensorflow.contrib.learnthon.learn.estimators.linear,2
root.tensorflow.contrib.learnthon.learn.estimators.logistic_regressor,1
root.tensorflow.contrib.learnthon.learn.estimators.model_fn,2
root.tensorflow.contrib.learnthon.learn.estimators.prediction_key,1
root.tensorflow.contrib.learnthon.learn.estimators.run_config,3
root.tensorflow.contrib.learnthon.learn.evaluable,1
root.tensorflow.contrib.learnthon.learn.experiment,1
root.tensorflow.contrib.learnthon.learn.export_strategy,1
root.tensorflow.contrib.learnthon.learn.graph_actions,1
root.tensorflow.contrib.learnthon.learn.learn_io,
root.tensorflow.contrib.learnthon.learn.learn_io.__init__,1
root.tensorflow.contrib.learnthon.learn.learn_io.dask_io,2
root.tensorflow.contrib.learnthon.learn.learn_io.graph_io,3
root.tensorflow.contrib.learnthon.learn.learn_io.pandas_io,3
root.tensorflow.contrib.learnthon.learn.metric_spec,1
root.tensorflow.contrib.learnthon.learn.models,1
root.tensorflow.contrib.learnthon.learn.monitors,2
root.tensorflow.contrib.learnthon.learn.ops,
root.tensorflow.contrib.learnthon.learn.ops.__init__,1
root.tensorflow.contrib.learnthon.learn.preprocessing,
root.tensorflow.contrib.learnthon.learn.preprocessing.__init__,1
root.tensorflow.contrib.learnthon.learn.trainable,1
root.tensorflow.contrib.learnthon.learn.utils,
root.tensorflow.contrib.learnthon.learn.utils.__init__,1
root.tensorflow.contrib.learnthon.learn.utils.input_fn_utils,1
root.tensorflow.contrib.legacy_seq2seq,
root.tensorflow.contrib.legacy_seq2seq.__init__,1
root.tensorflow.contrib.legacy_seq2seqthon,
root.tensorflow.contrib.legacy_seq2seqthon.ops,
root.tensorflow.contrib.legacy_seq2seqthon.ops.seq2seq,13
root.tensorflow.contrib.linalg,
root.tensorflow.contrib.linalg.__init__,1
root.tensorflow.contrib.linalgthon,
root.tensorflow.contrib.linalgthon.ops,
root.tensorflow.contrib.linalgthon.ops.linear_operator,1
root.tensorflow.contrib.linalgthon.ops.linear_operator_composition,1
root.tensorflow.contrib.linalgthon.ops.linear_operator_diag,1
root.tensorflow.contrib.linalgthon.ops.linear_operator_identity,2
root.tensorflow.contrib.linalgthon.ops.linear_operator_matrix,1
root.tensorflow.contrib.linalgthon.ops.linear_operator_tril,1
root.tensorflow.contrib.linear_optimizer,
root.tensorflow.contrib.linear_optimizer.__init__,1
root.tensorflow.contrib.linear_optimizerthon,
root.tensorflow.contrib.linear_optimizerthon.ops,
root.tensorflow.contrib.linear_optimizerthon.ops.sdca_ops,1
root.tensorflow.contrib.linear_optimizerthon.ops.sparse_feature_column,1
root.tensorflow.contrib.linear_optimizerthon.sdca_optimizer,1
root.tensorflow.contrib.lookup,
root.tensorflow.contrib.lookup.__init__,1
root.tensorflow.contrib.lookup.lookup_ops,18
root.tensorflow.contrib.losses,
root.tensorflow.contrib.losses.__init__,1
root.tensorflow.contrib.metrics,
root.tensorflow.contrib.metrics.__init__,1
root.tensorflow.contrib.metricsthon,
root.tensorflow.contrib.metricsthon.metrics,
root.tensorflow.contrib.metricsthon.metrics.classification,1
root.tensorflow.contrib.metricsthon.ops,
root.tensorflow.contrib.metricsthon.ops.confusion_matrix_ops,1
root.tensorflow.contrib.metricsthon.ops.histogram_ops,1
root.tensorflow.contrib.metricsthon.ops.metric_ops,34
root.tensorflow.contrib.ndlstmthon,
root.tensorflow.contrib.ndlstmthon.__init__,1
root.tensorflow.contrib.nn,
root.tensorflow.contrib.nn.__init__,1
root.tensorflow.contrib.nnthon,
root.tensorflow.contrib.nnthon.ops,
root.tensorflow.contrib.nnthon.ops.cross_entropy,3
root.tensorflow.contrib.opt,
root.tensorflow.contrib.opt.__init__,1
root.tensorflow.contrib.optthon,
root.tensorflow.contrib.optthon.training,
root.tensorflow.contrib.optthon.training.external_optimizer,2
root.tensorflow.contrib.optthon.training.moving_average_optimizer,1
root.tensorflow.contrib.optthon.training.variable_clipping_optimizer,1
root.tensorflow.contrib.quantization,
root.tensorflow.contrib.quantization.__init__,1
root.tensorflow.contrib.rnn,
root.tensorflow.contrib.rnn.__init__,1
root.tensorflow.contrib.rnnthon,
root.tensorflow.contrib.rnnthon.ops,
root.tensorflow.contrib.rnnthon.ops.core_rnn,3
root.tensorflow.contrib.rnnthon.ops.core_rnn_cell,1
root.tensorflow.contrib.rnnthon.ops.core_rnn_cell_impl,10
root.tensorflow.contrib.rnnthon.ops.fused_rnn_cell,3
root.tensorflow.contrib.rnnthon.ops.gru_ops,1
root.tensorflow.contrib.rnnthon.ops.lstm_ops,3
root.tensorflow.contrib.rnnthon.ops.rnn_cell,5
root.tensorflow.contrib.seq2seq,
root.tensorflow.contrib.seq2seq.__init__,1
root.tensorflow.contrib.seq2seqthon,
root.tensorflow.contrib.seq2seqthon.ops,
root.tensorflow.contrib.seq2seqthon.ops.attention_decoder_fn,3
root.tensorflow.contrib.seq2seqthon.ops.decoder_fn,2
root.tensorflow.contrib.seq2seqthon.ops.loss,1
root.tensorflow.contrib.seq2seqthon.ops.seq2seq,1
root.tensorflow.contrib.session_bundle,
root.tensorflow.contrib.session_bundle.__init__,1
root.tensorflow.contrib.slim,
root.tensorflow.contrib.slim.__init__,1
root.tensorflow.contrib.solvers,
root.tensorflow.contrib.solvers.__init__,1
root.tensorflow.contrib.specsthon,
root.tensorflow.contrib.specsthon.__init__,1
root.tensorflow.contrib.stat_summarizer,
root.tensorflow.contrib.stat_summarizer.__init__,1
root.tensorflow.contrib.tensor_forest,
root.tensorflow.contrib.tensor_forest.__init__,1
root.tensorflow.contrib.tensorboard,
root.tensorflow.contrib.tensorboard.__init__,1
root.tensorflow.contrib.testing,
root.tensorflow.contrib.testing.__init__,1
root.tensorflow.contrib.tfprof,
root.tensorflow.contrib.tfprof.__init__,1
root.tensorflow.contrib.training,
root.tensorflow.contrib.training.__init__,1
root.tensorflow.contrib.util,
root.tensorflow.contrib.util.__init__,1
root.tensorflow.contrib.util.loader,1
root.tensorflow.core,
root.tensorflow.core.__init__,1
root.tensorflow.core.example,
root.tensorflow.core.example.example_pb2,2
root.tensorflow.core.example.feature_pb2,9
root.tensorflow.core.framework,
root.tensorflow.core.framework.attr_value_pb2,4
root.tensorflow.core.framework.graph_pb2,1
root.tensorflow.core.framework.node_def_pb2,2
root.tensorflow.core.framework.summary_pb2,6
root.tensorflow.core.protobuf,
root.tensorflow.core.protobuf.config_pb2,7
root.tensorflow.core.protobuf.meta_graph_pb2,1
root.tensorflow.core.protobuf.saver_pb2,1
root.tensorflow.core.protobuf.tensorflow_server_pb2,4
root.tensorflow.core.util,
root.tensorflow.core.util.event_pb2,4
root.tensorflowthon,
root.tensorflowthon.__init__,1
root.tensorflowthon.client,
root.tensorflowthon.client.session,3
root.tensorflowthon.debug,
root.tensorflowthon.debug.__init__,1
root.tensorflowthon.debug.cli,
root.tensorflowthon.debug.cli.__init__,1
root.tensorflowthon.debug.lib,
root.tensorflowthon.debug.lib.__init__,1
root.tensorflowthon.debug.lib.debug_data,4
root.tensorflowthon.debug.lib.debug_utils,3
root.tensorflowthon.debug.wrappers,
root.tensorflowthon.debug.wrappers.__init__,1
root.tensorflowthon.debug.wrappers.dumping_wrapper,1
root.tensorflowthon.debug.wrappers.hooks,2
root.tensorflowthon.debug.wrappers.local_cli_wrapper,1
root.tensorflowthon.framework,
root.tensorflowthon.framework.constant_op,1
root.tensorflowthon.framework.device,2
root.tensorflowthon.framework.dtypes,2
root.tensorflowthon.framework.errors,1
root.tensorflowthon.framework.errors_impl,19
root.tensorflowthon.framework.graph_io,1
root.tensorflowthon.framework.graph_util,1
root.tensorflowthon.framework.graph_util_impl,5
root.tensorflowthon.framework.importer,1
root.tensorflowthon.framework.load_library,2
root.tensorflowthon.framework.meta_graph,2
root.tensorflowthon.framework.ops,19
root.tensorflowthon.framework.random_seed,2
root.tensorflowthon.framework.sparse_tensor,3
root.tensorflowthon.framework.tensor_shape,2
root.tensorflowthon.framework.tensor_util,3
root.tensorflowthon.framework.test_util,2
root.tensorflowthon.layers,
root.tensorflowthon.layers.convolutional,5
root.tensorflowthon.layers.core,2
root.tensorflowthon.layers.layers,1
root.tensorflowthon.layers.normalization,1
root.tensorflowthon.layers.pooling,6
root.tensorflowthon.lib,
root.tensorflowthon.lib.io,
root.tensorflowthon.lib.io.file_io,12
root.tensorflowthon.lib.iothon_io,1
root.tensorflowthon.lib.io.tf_record,4
root.tensorflowthon.ops,
root.tensorflowthon.ops.array_ops,36
root.tensorflowthon.ops.candidate_sampling_ops,6
root.tensorflowthon.ops.check_ops,17
root.tensorflowthon.ops.clip_ops,5
root.tensorflowthon.ops.confusion_matrix,1
root.tensorflowthon.ops.control_flow_ops,6
root.tensorflowthon.ops.ctc_ops,3
root.tensorflowthon.ops.data_flow_ops,10
root.tensorflowthon.ops.embedding_ops,2
root.tensorflowthon.ops.functional_ops,4
root.tensorflowthon.ops.gradient_checker,2
root.tensorflowthon.ops.gradients_impl,3
root.tensorflowthon.ops.histogram_ops,1
root.tensorflowthon.ops.image_ops,1
root.tensorflowthon.ops.image_ops_impl,27
root.tensorflowthon.ops.init_ops,8
root.tensorflowthon.ops.io_ops,6
root.tensorflowthon.ops.linalg_ops,7
root.tensorflowthon.ops.logging_ops,1
root.tensorflowthon.ops.losses,
root.tensorflowthon.ops.losses.losses,1
root.tensorflowthon.ops.losses.losses_impl,10
root.tensorflowthon.ops.losses.util,4
root.tensorflowthon.ops.math_ops,48
root.tensorflowthon.ops.metrics,1
root.tensorflowthon.ops.metrics_impl,23
root.tensorflowthon.ops.nn,1
root.tensorflowthon.ops.nn_impl,16
root.tensorflowthon.ops.nn_ops,21
root.tensorflowthon.ops.numerics,2
root.tensorflowthon.ops.parsing_ops,7
root.tensorflowthon.ops.partitioned_variables,4
root.tensorflowthon.ops.random_ops,7
root.tensorflowthon.ops.rnn,3
root.tensorflowthon.ops.rnn_cell_impl,1
root.tensorflowthon.ops.script_ops,1
root.tensorflowthon.ops.sdca_ops,1
root.tensorflowthon.ops.session_ops,3
root.tensorflowthon.ops.sets,1
root.tensorflowthon.ops.sets_impl,4
root.tensorflowthon.ops.sparse_ops,22
root.tensorflowthon.ops.special_math_ops,2
root.tensorflowthon.ops.string_ops,2
root.tensorflowthon.ops.summary_ops,1
root.tensorflowthon.ops.template,1
root.tensorflowthon.ops.tensor_array_ops,1
root.tensorflowthon.ops.variable_scope,5
root.tensorflowthon.ops.variables,14
root.tensorflowthon.platform,
root.tensorflowthon.platform.app,2
root.tensorflowthon.platform.benchmark,1
root.tensorflowthon.platform.flags,1
root.tensorflowthon.platform.gfile,3
root.tensorflowthon.platform.resource_loader,5
root.tensorflowthon.platform.sysconfig,3
root.tensorflowthon.platform.test,7
root.tensorflowthon.platform.tf_logging,9
root.tensorflowthon.wrap_root,
root.tensorflowthon.wrap_root.tensorflow,4
root.tensorflowthon.saved_model,
root.tensorflowthon.saved_model.builder,1
root.tensorflowthon.saved_model.builder_impl,1
root.tensorflowthon.saved_model.constants,1
root.tensorflowthon.saved_model.loader,1
root.tensorflowthon.saved_model.loader_impl,2
root.tensorflowthon.saved_model.main_op,1
root.tensorflowthon.saved_model.main_op_impl,2
root.tensorflowthon.saved_model.saved_model,1
root.tensorflowthon.saved_model.signature_constants,1
root.tensorflowthon.saved_model.signature_def_utils,1
root.tensorflowthon.saved_model.signature_def_utils_impl,4
root.tensorflowthon.saved_model.tag_constants,1
root.tensorflowthon.saved_model.utils,1
root.tensorflowthon.saved_model.utils_impl,1
root.tensorflowthon.summary,
root.tensorflowthon.summary.summary,8
root.tensorflowthon.summary.summary_iterator,1
root.tensorflowthon.summary.writer,
root.tensorflowthon.summary.writer.writer,1
root.tensorflowthon.summary.writer.writer_cache,3
root.tensorflowthon.training,
root.tensorflowthon.training.adadelta,1
root.tensorflowthon.training.adagrad,1
root.tensorflowthon.training.adagrad_da,1
root.tensorflowthon.training.adam,1
root.tensorflowthon.training.basic_loops,1
root.tensorflowthon.training.basic_session_run_hooks,8
root.tensorflowthon.training.coordinator,3
root.tensorflowthon.training.device_setter,1
root.tensorflowthon.training.ftrl,1
root.tensorflowthon.training.gradient_descent,1
root.tensorflowthon.training.input,14
root.tensorflowthon.training.learning_rate_decay,5
root.tensorflowthon.training.momentum,1
root.tensorflowthon.training.monitored_session,8
root.tensorflowthon.training.moving_averages,1
root.tensorflowthon.training.optimizer,1
root.tensorflowthon.training.proximal_adagrad,1
root.tensorflowthon.training.proximal_gradient_descent,1
root.tensorflowthon.training.queue_runner,1
root.tensorflowthon.training.queue_runner_impl,4
root.tensorflowthon.training.rmsprop,1
root.tensorflowthon.training.saver,10
root.tensorflowthon.training.server_lib,3
root.tensorflowthon.training.session_manager,1
root.tensorflowthon.training.session_run_hook,4
root.tensorflowthon.training.supervisor,1
root.tensorflowthon.training.sync_replicas_optimizer,1
root.tensorflowthon.training.training,1
root.tensorflowthon.training.training_util,3
root.tensorflowthon.user_ops,
root.tensorflowthon.user_ops.user_ops,1
root.tensorflowthon.util,
root.tensorflowthon.util.compat,4
root.tensorflowthon.util.deprecation,38
root.tensorflow.tools,
root.tensorflow.tools.__init__,1
